Sample,x1,x2,x3,x4,x5
26,1.4483,1.5458,1.4538,1.4303,1.6206
27,1.5435,1.6899,1.583,1.3358,1.4187
28,1.5175,1.3446,1.4723,1.6657,1.6661
29,1.5454,1.0931,1.4072,1.5039,1.5264
30,1.4418,1.5059,1.5124,1.462,1.6263
31,1.4301,1.2725,1.5945,1.5397,1.5252
32,1.4981,1.4506,1.6174,1.5837,1.4962
33,1.3009,1.506,1.6231,1.5831,1.6454
34,1.4132,1.4603,1.5808,1.7111,1.7313
35,1.3817,1.3135,1.4953,1.4894,1.4596
36,1.5765,1.7014,1.4026,1.2773,1.4541
37,1.4936,1.4373,1.5139,1.4808,1.5293
38,1.5729,1.6738,1.5048,1.5651,1.7473
39,1.8089,1.5513,1.825,1.4389,1.7558
40,1.6236,1.5393,1.6738,1.8698,1.5036
41,1.412,1.7931,1.7345,1.6391,1.7791
42,1.7372,1.5663,1.491,1.7809,1.5504
43,1.5971,1.7394,1.6832,1.6677,1.7974
44,1.4295,1.6536,1.9134,1.7272,1.437
45,1.6217,1.822,1.7915,1.6744,1.9404
